1	sp	0.0125	0.0925
2	PLEASE	0.0925	0.4125
3	CALL	0.4125	0.7925
4	sp	0.7925	0.9725
5	STELLA	0.9725	1.4825
6	sp	1.4825	1.6325
7	ASK	1.6325	1.8625
8	HER	1.8625	2.0325
9	TO	2.0325	2.1525
10	BRING	2.1525	2.3825
11	THESE	2.3825	2.6225
12	THINGS	2.6225	2.9525
13	sp	2.9525	3.2025
14	WITH	3.2025	3.3825
15	HER	3.3825	3.6525
16	FROM	3.6525	3.8125
17	THE	3.8125	3.8825
18	STORE	3.8825	4.2825
19	sp	4.2825	4.5425
20	SIX	4.5425	4.8125
21	SPOONS	4.8125	5.2325
22	OF	5.2325	5.3125
23	FRESH	5.3125	5.7925
24	SNOW	5.7925	6.2225
25	PEAS	6.2225	6.6425
26	sp	6.6425	7.0925
27	FIVE	7.0925	7.3725
28	sp	7.3725	7.4825
29	THICK	7.4825	7.7025
30	SLABS	7.7025	8.2125
31	OF	8.2125	8.2725
32	sp	8.2725	8.3225
33	BLUE	8.3225	8.5525
34	CHEESE	8.5525	8.9525
35	sp	8.9525	9.4125
36	AND	9.4125	9.5225
37	MAYBE	9.5225	9.8425
38	A	9.8425	9.8825
39	SNACK	9.8825	10.2225
40	FOR	10.2225	10.4025
41	HER	10.4025	10.5825
42	BROTHER	10.5825	10.9525
43	BOB	10.9525	11.2425
44	sp	11.2425	11.8725
45	WE	11.8725	11.9625
46	ALSO	11.9625	12.2625
47	NEED	12.2625	12.3525
48	A	12.3525	12.4125
49	SMALL	12.4125	12.5725
50	PLASTIC	12.5725	13.0825
51	sp	13.0825	13.7725
52	SNAKE	13.7725	14.3125
53	sp	14.3125	14.4025
54	AND	14.4025	14.6225
55	A	14.6225	14.6725
56	BIG	14.6725	14.9525
57	sp	14.9525	15.0425
58	TOY	15.0425	15.2225
59	FROG	15.2225	15.5625
60	FOR	15.5625	15.8625
61	sp	15.8625	16.0525
62	THE	16.0525	16.2925
63	KIDS	16.2925	16.7325
64	sp	16.7325	17.0925
65	SHE	17.0925	17.4325
66	CAN	17.4325	17.6025
67	SCOOP	17.6025	17.9925
68	THESE	17.9925	18.2225
69	THINGS	18.2225	18.4925
70	INTO	18.4925	18.8225
71	THREE	18.8225	19.0525
72	RED	19.0525	19.3525
73	BAGS	19.3525	19.7125
74	sp	19.7125	19.9325
75	AND	19.9325	20.1125
76	WE	20.1125	20.1725
77	WILL	20.1725	20.3525
78	GO	20.3525	20.5925
79	MEET	20.5925	20.8925
80	sp	20.8925	20.9225
81	HER	20.9225	21.1025
82	WEDNESDAY	21.1025	21.6025
83	AT	21.6025	21.6725
84	THE	21.6725	21.8325
85	sp	21.8325	22.0325
86	TRAIN	22.0325	22.2525
87	STATION	22.2525	22.7325
88	sp	22.7325	23.5325
