1	sp	0.0125	0.3025
2	PLEASE	0.3025	0.7025
3	CALL	0.7025	0.9225
4	STELLA	0.9225	1.2625
5	sp	1.2625	2.0925
6	ASK	2.0925	2.3025
7	HER	2.3025	2.3725
8	TO	2.3725	2.4925
9	BRING	2.4925	2.6825
10	THESE	2.6825	2.8825
11	THINGS	2.8825	3.2725
12	WITH	3.2725	3.4725
13	HER	3.4725	3.7325
14	FROM	3.7325	3.9825
15	THE	3.9825	4.0525
16	STORE	4.0525	4.3825
17	sp	4.3825	5.2525
18	SIX	5.2525	5.5225
19	SPOONS	5.5225	5.8525
20	OF	5.8525	6.0025
21	sp	6.0025	6.0625
22	FRESH	6.0625	6.3325
23	SNOW	6.3325	6.6625
24	PEAS	6.6625	7.0425
25	sp	7.0425	7.6325
26	FIVE	7.6325	7.8825
27	THICK	7.8825	8.3425
28	sp	8.3425	8.4825
29	SLABS	8.4825	8.9025
30	OF	8.9025	9.0525
31	sp	9.0525	9.1125
32	BLUE	9.1125	9.3225
33	CHEESE	9.3225	9.7425
34	sp	9.7425	10.3225
35	AND	10.3225	10.4925
36	MAYBE	10.4925	10.9525
37	sp	10.9525	10.9825
38	A	10.9825	11.3225
39	sp	11.3225	11.5025
40	SNACK	11.5025	12.0525
41	FOR	12.0525	12.4525
42	sp	12.4525	13.2125
43	HER	13.2125	13.7525
44	BROTHER	13.7525	14.1825
45	sp	14.1825	14.3425
46	BOB	14.3425	14.6325
47	sp	14.6325	15.8425
48	WE	15.8425	16.0125
49	ALSO	16.0125	16.2025
50	NEED	16.2025	16.3825
51	A	16.3825	16.4125
52	SMALL	16.4125	16.7825
53	PLASTIC	16.7825	17.1425
54	SNAKE	17.1425	17.5225
55	sp	17.5225	18.1225
56	AND	18.1225	18.4725
57	A	18.4725	18.6125
58	sp	18.6125	18.7225
59	BIG	18.7225	19.1325
60	sp	19.1325	19.5325
61	TOY	19.5325	19.7525
62	FROG	19.7525	20.1525
63	FOR	20.1525	20.3525
64	THE	20.3525	20.5025
65	KIDS	20.5025	20.8725
66	sp	20.8725	21.8025
67	SHE	21.8025	21.9125
68	CAN	21.9125	22.1325
69	SCOOP	22.1325	22.5925
70	sp	22.5925	22.6925
71	THESE	22.6925	23.0225
72	sp	23.0225	23.4625
73	THINGS	23.4625	23.8925
74	sp	23.8925	23.9425
75	INTO	23.9425	24.6325
76	THREE	24.6325	25.1425
77	RED	25.1425	25.3425
78	BAGS	25.3425	25.7225
79	sp	25.7225	26.3125
80	AND	26.3125	26.9925
81	WE	26.9925	27.1225
82	sp	27.1225	27.5325
83	WILL	27.5325	27.8125
84	GO	27.8125	27.9925
85	MEET	27.9925	28.1725
86	HER	28.1725	28.3525
87	sp	28.3525	28.7225
88	WEDNESDAY	28.7225	29.1825
89	AT	29.1825	29.3225
90	THE	29.3225	29.3825
91	TRAIN	29.3825	29.6325
92	STATION	29.6325	30.0125
93	sp	30.0125	30.7325
