1	sp	0.0125	0.2325
2	PLEASE	0.2325	0.6425
3	sp	0.6425	0.7525
4	CALL	0.7525	1.1825
5	sp	1.1825	1.2925
6	STELLA	1.2925	1.9925
7	sp	1.9925	2.2525
8	ASK	2.2525	2.5525
9	HER	2.5525	2.7825
10	TO	2.7825	2.9925
11	sp	2.9925	3.0925
12	BRING	3.0925	3.3725
13	THESE	3.3725	3.5525
14	THINGS	3.5525	4.0125
15	sp	4.0125	4.0725
16	WITH	4.0725	4.3325
17	sp	4.3325	4.4725
18	HER	4.4725	4.6725
19	FROM	4.6725	5.1325
20	THE	5.1325	5.2825
21	STORE	5.2825	5.6525
22	sp	5.6525	6.2125
23	SIX	6.2125	6.5725
24	SPOONS	6.5725	7.0525
25	sp	7.0525	7.5325
26	OF	7.5325	7.7925
27	sp	7.7925	8.1225
28	FRESH	8.1225	8.4725
29	sp	8.4725	8.5625
30	SNOW	8.5625	9.0025
31	sp	9.0025	9.4225
32	PEAS	9.4225	9.7525
33	sp	9.7525	9.9525
34	FIVE	9.9525	10.2225
35	sp	10.2225	10.6025
36	THICK	10.6025	10.9125
37	sp	10.9125	11.0625
38	SLABS	11.0625	11.7325
39	sp	11.7325	11.8125
40	OF	11.8125	12.0025
41	sp	12.0025	12.1625
42	BLUE	12.1625	12.4925
43	sp	12.4925	12.7425
44	CHEESE	12.7425	13.1125
45	sp	13.1125	13.5925
46	AND	13.5925	13.9625
47	MAYBE	13.9625	14.4625
48	A	14.4625	14.6725
49	SNACK	14.6725	15.1125
50	FOR	15.1125	15.4925
51	sp	15.4925	15.5425
52	HER	15.5425	15.7425
53	BROTHER	15.7425	16.2125
54	sp	16.2125	16.2825
55	BOB	16.2825	16.6025
56	sp	16.6025	16.9625
57	WE	16.9625	17.1025
58	ALSO	17.1025	17.4625
59	NEED	17.4625	17.7725
60	A	17.7725	17.9425
61	SMALL	17.9425	18.4325
62	sp	18.4325	18.5925
63	PLASTIC	18.5925	19.4625
64	SNAKE	19.4625	19.9825
65	sp	19.9825	20.5625
66	AND	20.5625	20.9025
67	A	20.9025	21.1125
68	sp	21.1125	21.2025
69	BIG	21.2025	21.3725
70	sp	21.3725	21.5125
71	TOY	21.5125	21.8725
72	sp	21.8725	22.2225
73	FROG	22.2225	22.5525
74	sp	22.5525	22.8125
75	FOR	22.8125	23.0325
76	sp	23.0325	23.3925
77	THE	23.3925	23.7325
78	KIDS	23.7325	24.0525
79	sp	24.0525	24.3925
80	SHE	24.3925	24.6625
81	CAN	24.6625	24.9725
82	sp	24.9725	25.6425
83	SCOOP	25.6425	26.1425
84	sp	26.1425	26.5425
85	THESE	26.5425	26.7725
86	THINGS	26.7725	27.2025
87	INTO	27.2025	27.8225
88	sp	27.8225	27.9025
89	THREE	27.9025	28.3225
90	RED	28.3225	28.6425
91	sp	28.6425	28.8125
92	BAGS	28.8125	29.0425
93	sp	29.0425	29.1725
94	AND	29.1725	29.4325
95	WE	29.4325	29.5725
96	WILL	29.5725	29.8125
97	sp	29.8125	29.8425
98	GO	29.8425	30.0625
99	MEET	30.0625	30.3525
100	sp	30.3525	30.4125
101	HER	30.4125	30.7225
102	sp	30.7225	30.8425
103	WEDNESDAY	30.8425	31.3625
104	sp	31.3625	31.4325
105	AT	31.4325	31.6525
106	THE	31.6525	31.8725
107	sp	31.8725	32.0325
108	TRAIN	32.0325	32.3025
109	STATION	32.3025	32.7825
110	sp	32.7825	33.1925
