1	sp	0.0125	0.3525
2	PLEASE	0.3525	0.6625
3	CALL	0.6625	0.8625
4	STELLA	0.8625	1.4125
5	ASK	1.4125	1.5725
6	HER	1.5725	1.7025
7	TO	1.7025	1.8025
8	BRING	1.8025	2.0725
9	THESE	2.0725	2.3125
10	THINGS	2.3125	2.5425
11	WITH	2.5425	2.6525
12	HER	2.6525	2.7825
13	FROM	2.7825	3.0325
14	THE	3.0325	3.1025
15	STORE	3.1025	3.4525
16	sp	3.4525	3.9125
17	SIX	3.9125	4.1925
18	SPOONS	4.1925	4.5225
19	OF	4.5225	4.6125
20	FRESH	4.6125	4.8725
21	SNOW	4.8725	5.2625
22	PEAS	5.2625	5.6125
23	FIVE	5.6125	5.8025
24	sp	5.8025	5.8225
25	THICK	5.8225	5.9525
26	SLABS	5.9525	6.3025
27	OF	6.3025	6.4325
28	sp	6.4325	6.4625
29	BLUE	6.4625	6.6725
30	CHEESE	6.6725	7.0025
31	sp	7.0025	7.0925
32	AND	7.0925	7.2325
33	MAYBE	7.2325	7.4825
34	A	7.4825	7.5225
35	SNACK	7.5225	7.8625
36	FOR	7.8625	8.0225
37	HER	8.0225	8.2225
38	BROTHER	8.2225	8.5725
39	BOB	8.5725	8.6925
40	sp	8.6925	9.5925
41	WE	9.5925	9.6825
42	ALSO	9.6825	9.8925
43	NEED	9.8925	10.0925
44	A	10.0925	10.1325
45	SMALL	10.1325	10.4725
46	PLASTIC	10.4725	10.8825
47	SNAKE	10.8825	11.2925
48	AND	11.2925	11.4225
49	A	11.4225	11.4625
50	BIG	11.4625	11.6325
51	TOY	11.6325	11.8225
52	FROG	11.8225	12.1625
53	FOR	12.1625	12.3225
54	THE	12.3225	12.4125
55	KIDS	12.4125	12.7825
56	sp	12.7825	13.1625
57	SHE	13.1625	13.3325
58	CAN	13.3325	13.4725
59	SCOOP	13.4725	13.9325
60	THESE	13.9325	14.1725
61	THINGS	14.1725	14.3925
62	INTO	14.3925	14.6125
63	sp	14.6125	14.6525
64	THREE	14.6525	14.9025
65	RED	14.9025	15.1325
66	BAGS	15.1325	15.5525
67	AND	15.5525	15.7625
68	WE	15.7625	15.8225
69	WILL	15.8225	15.9625
70	GO	15.9625	16.1325
71	MEET	16.1325	16.3925
72	HER	16.3925	16.5825
73	WEDNESDAY	16.5825	16.9825
74	AT	16.9825	17.0625
75	THE	17.0625	17.1225
76	TRAIN	17.1225	17.3725
77	STATION	17.3725	17.9025
78	sp	17.9025	18.2925
