1	sp	0.0125	0.0325
2	PLEASE	0.0325	0.2725
3	CALL	0.2725	0.4725
4	STELLA	0.4725	0.8625
5	sp	0.8625	1.1025
6	ASK	1.1025	1.3925
7	HER	1.3925	1.5425
8	TO	1.5425	1.7125
9	BRING	1.7125	2.0025
10	THESE	2.0025	2.2625
11	THINGS	2.2625	2.6625
12	sp	2.6625	2.7325
13	WITH	2.7325	2.9725
14	HER	2.9725	3.2225
15	FROM	3.2225	3.3825
16	THE	3.3825	3.4725
17	STORE	3.4725	3.9325
18	sp	3.9325	4.2425
19	SIX	4.2425	4.4825
20	SPOONS	4.4825	4.8425
21	OF	4.8425	5.0525
22	FRESH	5.0525	5.3725
23	sp	5.3725	5.5625
24	SNOW	5.5625	5.9625
25	PEAS	5.9625	6.3025
26	sp	6.3025	6.6325
27	FIVE	6.6325	6.9425
28	THICK	6.9425	7.0925
29	SLABS	7.0925	7.5825
30	OF	7.5825	7.7025
31	BLUE	7.7025	7.9825
32	CHEESE	7.9825	8.4225
33	sp	8.4225	8.7925
34	AND	8.7925	8.9625
35	MAYBE	8.9625	9.2425
36	A	9.2425	9.3025
37	SNACK	9.3025	9.6625
38	FOR	9.6625	9.8525
39	HER	9.8525	10.0225
40	BROTHER	10.0225	10.3125
41	BOB	10.3125	10.7925
42	sp	10.7925	11.2725
43	WE	11.2725	11.3925
44	ALSO	11.3925	11.6225
45	NEED	11.6225	11.7925
46	A	11.7925	11.8625
47	sp	11.8625	11.9025
48	SMALL	11.9025	12.1525
49	PLASTIC	12.1525	12.5125
50	SNAKE	12.5125	12.8325
51	AND	12.8325	13.1625
52	A	13.1625	13.4325
53	BIG	13.4325	13.7125
54	TOY	13.7125	13.8925
55	FROG	13.8925	14.2925
56	FOR	14.2925	14.3725
57	THE	14.3725	14.5425
58	KIDS	14.5425	14.8325
59	sp	14.8325	15.5625
60	SHE	15.5625	15.7725
61	CAN	15.7725	16.0025
62	sp	16.0025	16.1025
63	SCOOP	16.1025	16.5925
64	THESE	16.5925	16.8925
65	sp	16.8925	16.9225
66	THINGS	16.9225	17.3325
67	INTO	17.3325	17.5225
68	THREE	17.5225	17.8425
69	RED	17.8425	18.0725
70	BAGS	18.0725	18.5725
71	AND	18.5725	18.7825
72	WE	18.7825	18.8725
73	WILL	18.8725	19.0425
74	GO	19.0425	19.3025
75	MEET	19.3025	19.6525
76	sp	19.6525	19.6825
77	HER	19.6825	20.1225
78	sp	20.1225	20.5225
79	WEDNESDAY	20.5225	20.9125
80	AT	20.9125	21.0125
81	THE	21.0125	21.0925
82	TRAIN	21.0925	21.4025
83	STATION	21.4025	21.8525
84	sp	21.8525	22.4025
